id,name,description,customAttrs,licenseIds
cmffk898f001wgldflie00ims,Business Intelligence Dashboard,Real-time analytics and reporting platform with interactive visualizations,"{""status"":""active"",""version"":""2.0.0"",""category"":""Analytics Platform"",""industry"":""Analytics"",""priority"":""Medium"",""technology"":""Vue.js, Python, Elasticsearch""}","[""cmffk89k40033gldfr18c26fp"",""cmffk89kr0037gldfuab5bpuy"",""cmffk89lc003bgldfh8hdx9z8""]"
cmffk899q001zgldfakxd2hui,Healthcare Management System,Comprehensive healthcare management solution for hospitals and clinics,"{""status"":""development"",""version"":""1.0.0"",""category"":""Healthcare Application"",""industry"":""Healthcare"",""priority"":""High"",""technology"":""React, .NET Core, SQL Server""}","[""cmffk89lu003fgldfmvm43s00"",""cmffk89md003jgldf0wugamng"",""cmffk89mx003ngldfe4t8tu59""]"
cmffk8ryw00bmgldfyk28yczp,Test Product 1757604338872,This is a test product created by the GUI Test Studio for validation purposes.,"{""status"":""active"",""category"":""Test Category"",""priority"":""High"",""createdAt"":""2025-09-11T15:25:38.872Z"",""createdBy"":""GUI Test Studio"",""testCreated"":true}",[]
cmffk9knq00c4gldf35ulll6y,Test Product 1757604376047,This is a test product created by the GUI Test Studio for validation purposes.,"{""status"":""active"",""category"":""Test Category"",""priority"":""High"",""createdAt"":""2025-09-11T15:26:16.047Z"",""createdBy"":""GUI Test Studio"",""testCreated"":true}",[]
cmffkcoul00crgldfmo1iu96d,Test Product for License,Testing license creation,{},"[""cmffkctz900cvgldf3k4madyt""]"
cmffkfw7t00cygldf6hqzhafo,Test Product 2,Second test product,{},"[""cmffkg11200d2gldfolgz52np""]"
cmffki31i0002gldqtgisjs0f,Complete Test Product,Testing complete workflow,{},"[""cmffki7640006gldqqupvfupr""]"
cmffkjhen001nglyzd3cykavi,E-Commerce Platform - EDITED,Modern e-commerce platform with advanced features for online retailers [UPDATED by GUI Test Studio at 11:35:24 AM] - This product has been comprehensively updated with all available attributes modified for thorough testing.,"{""status"":""active"",""version"":""v1.0"",""category"":""Web Application"",""editedBy"":""GUI Test Studio"",""industry"":""Retail"",""priority"":""High"",""editCount"":1,""lastEdited"":""2025-09-11T15:35:24.220Z"",""technology"":""React, Node.js, PostgreSQL"",""editTimestamp"":1757604924220,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}","[""cmffkjhl80023glyz2i82phwz"",""cmffkjhlq0027glyzb31fbz6o"",""cmffkjhm7002bglyzh6r2uswr""]"
cmffkjhj3001qglyzj1auouvq,Mobile Banking Application,Secure mobile banking solution with biometric authentication and real-time transactions,"{""status"":""active"",""version"":""3.2.1"",""category"":""Mobile Application"",""industry"":""FinTech"",""priority"":""Critical"",""technology"":""React Native, Node.js""}","[""cmffkjhmv002fglyznhly4vy7"",""cmffkjhnh002jglyz5eqpvo1y"",""cmffkjhnv002nglyzkdht9ybu""]"
cmffkjhjm001tglyzhlf2s7o3,Customer Relationship Management,Advanced CRM system with AI-powered insights and automation,"{""status"":""development"",""version"":""1.5.3"",""category"":""Business Application"",""industry"":""Business Services"",""priority"":""Medium"",""technology"":""Angular, Spring Boot, MongoDB""}","[""cmffkjhoe002rglyzr9rbzki4"",""cmffkjhov002vglyz4wf2uo8b"",""cmffkjhpk002zglyzmsl2q9ug""]"
cmffkjhk3001wglyzpogp07gm,Business Intelligence Dashboard,Real-time analytics and reporting platform with interactive visualizations,"{""status"":""active"",""version"":""2.0.0"",""category"":""Analytics Platform"",""industry"":""Analytics"",""priority"":""Medium"",""technology"":""Vue.js, Python, Elasticsearch""}","[""cmffkjhq20033glyzosredxdg"",""cmffkjhqj0037glyzdmaghr8f"",""cmffkjhr3003bglyzs0tc52u2""]"
cmffkjhkk001zglyzulfcyphe,Healthcare Management System,Comprehensive healthcare management solution for hospitals and clinics,"{""status"":""development"",""version"":""1.0.0"",""category"":""Healthcare Application"",""industry"":""Healthcare"",""priority"":""High"",""technology"":""React, .NET Core, SQL Server""}","[""cmffkjhrk003fglyz0fq2mu8m"",""cmffkjhs8003jglyz3np8s26l"",""cmffkjhss003nglyz1qly8ees""]"
cmffkl9m800bmglyzhznsom6o,Test Product 1757604921668,This is a test product created by the GUI Test Studio for validation purposes.,"{""status"":""active"",""category"":""Test Category"",""priority"":""High"",""createdAt"":""2025-09-11T15:35:21.668Z"",""createdBy"":""GUI Test Studio"",""testCreated"":true}","[""cmffkl9pn00buglyzquu0t7vp""]"
cmffkola10000glzpnamgrmem,Test Product No Licenses,Product with no licenses to test validation,{},"[""cmffkow0a0004glzpvwmjk9h5""]"
cmffkq4i20000glgjjvh91bqs,Delete Test Product,For testing deletion,{},"[""cmffkq8rs0004glgjtkozcj63""]"
cmffkwmyz0000glzkwspprw5z,Final Test Product,Testing complete workflow,{},"[""cmffkwrh10004glzkuylw1zb2""]"
cmffkxev5000eglzkuz30y5pl,Validation Test Product,Testing license validation,{},"[""cmffkxk29000iglzk8jjleta1""]"
cmffl0m7o000qglzkb8yu22m2,Final Test Product,Testing complete workflow,{},"[""cmffl0vbf000uglzkns55ontz""]"
cmffl30bx001oglv399bpmy3k,E-Commerce Platform,Modern e-commerce platform with advanced features for online retailers,"{""status"":""active"",""version"":""2.1.0"",""category"":""Web Application"",""industry"":""Retail"",""priority"":""High"",""technology"":""React, Node.js, PostgreSQL""}","[""cmffl30jz0024glv3s2slwasi"",""cmffl30kk0028glv3xd5yj98e"",""cmffl30l3002cglv3q9537s4j""]"
cmffl30gu001rglv3xe5s85zo,Mobile Banking Application,Secure mobile banking solution with biometric authentication and real-time transactions,"{""status"":""active"",""version"":""3.2.1"",""category"":""Mobile Application"",""industry"":""FinTech"",""priority"":""Critical"",""technology"":""React Native, Node.js""}","[""cmffl30lo002gglv39fp6a019"",""cmffl30m6002kglv3roes2ggk"",""cmffl30mp002oglv3y73emjqq""]"
cmffl30hx001uglv3x2cxwex6,Customer Relationship Management,Advanced CRM system with AI-powered insights and automation,"{""status"":""development"",""version"":""1.5.3"",""category"":""Business Application"",""industry"":""Business Services"",""priority"":""Medium"",""technology"":""Angular, Spring Boot, MongoDB""}","[""cmffl30ng002sglv3ohw48131"",""cmffl30nx002wglv3mj1r9f6q"",""cmffl30og0030glv33o9uygk2""]"
cmffl30iu001xglv3y4wamwrd,Business Intelligence Dashboard,Real-time analytics and reporting platform with interactive visualizations,"{""status"":""active"",""version"":""2.0.0"",""category"":""Analytics Platform"",""industry"":""Analytics"",""priority"":""Medium"",""technology"":""Vue.js, Python, Elasticsearch""}","[""cmffl30p30034glv3k62ygcg4"",""cmffl30pz0038glv31u1r03il"",""cmffl30ql003cglv3v97c99sz""]"
cmffl30je0020glv3qf5ygha6,Healthcare Management System,Comprehensive healthcare management solution for hospitals and clinics,"{""status"":""development"",""version"":""1.0.0"",""category"":""Healthcare Application"",""industry"":""Healthcare"",""priority"":""High"",""technology"":""React, .NET Core, SQL Server""}","[""cmffl30r7003gglv30ruyjlkt"",""cmffl30ru003kglv36qi1f7do"",""cmffl30sk003oglv3kc8zyu14""]"
cmffl3rts00bnglv3zcfr9zy5,Test Product 1757605785038,This is a test product created by the GUI Test Studio for validation purposes.,"{""status"":""active"",""category"":""Test Category"",""priority"":""High"",""createdAt"":""2025-09-11T15:49:45.038Z"",""createdBy"":""GUI Test Studio"",""testCreated"":true}","[""cmffl3rx600bvglv3u4kjl9fo""]"
cmffl47xe00c5glv3inkxjiye,Test Product 1757605805897 - EDITED,This is a test product created by the GUI Test Studio for validation purposes. [UPDATED by GUI Test Studio at 11:50:09 AM] - This product has been comprehensively updated with all available attributes modified for thorough testing.,"{""status"":""active"",""version"":""v1.0"",""category"":""Test Category"",""editedBy"":""GUI Test Studio"",""priority"":""High"",""createdAt"":""2025-09-11T15:50:05.897Z"",""createdBy"":""GUI Test Studio"",""editCount"":1,""lastEdited"":""2025-09-11T15:50:09.642Z"",""testCreated"":true,""editTimestamp"":1757605809642,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}","[""cmffl481o00cdglv31ucifqtt""]"
cmfflbeqe00cvglv3ev8i38vi,Test Product for Deletion,Will be deleted in test,{},[]
cmfflej9900d7glv3pbokpzio,Final Test Product,Complete test cycle,{},"[""cmfflejb200dbglv35z046335""]"
cmffles6700dlglv3ivbxdqw7,Final Test Product,Complete test cycle,{},[]
cmfflex6b00doglv3ye6ti7gx,Final Test Product,Complete test cycle,{},"[""cmfflf1cz00dsglv3douo4ocf""]"
cmfflhfm700fqglv3pdnxxplm,E-Commerce Platform,Modern e-commerce platform with advanced features for online retailers,"{""status"":""active"",""version"":""2.1.0"",""category"":""Web Application"",""industry"":""Retail"",""priority"":""High"",""technology"":""React, Node.js, PostgreSQL""}","[""cmfflhfqp00g6glv3chdfd0ki"",""cmfflhfrw00gaglv3lwdn3qfr"",""cmfflhfsk00geglv3jyzr8akx""]"
cmfflhfne00ftglv3rtkafe01,Mobile Banking Application,Secure mobile banking solution with biometric authentication and real-time transactions,"{""status"":""active"",""version"":""3.2.1"",""category"":""Mobile Application"",""industry"":""FinTech"",""priority"":""Critical"",""technology"":""React Native, Node.js""}","[""cmfflhft700giglv3aa551cs9"",""cmfflhftt00gmglv3xfc4415k"",""cmfflhfue00gqglv37en1fw5p""]"
cmfflhfop00fwglv3aut67gwd,Customer Relationship Management,Advanced CRM system with AI-powered insights and automation,"{""status"":""development"",""version"":""1.5.3"",""category"":""Business Application"",""industry"":""Business Services"",""priority"":""Medium"",""technology"":""Angular, Spring Boot, MongoDB""}","[""cmfflhfuz00guglv30bsfa5h2"",""cmfflhfvm00gyglv39u86llan"",""cmfflhfw800h2glv3f82oho3d""]"
cmfflhfpg00fzglv3sbraw87o,Business Intelligence Dashboard,Real-time analytics and reporting platform with interactive visualizations,"{""status"":""active"",""version"":""2.0.0"",""category"":""Analytics Platform"",""industry"":""Analytics"",""priority"":""Medium"",""technology"":""Vue.js, Python, Elasticsearch""}","[""cmfflhfwx00h6glv30q67pti3"",""cmfflhfxr00haglv3b4lkyrh3"",""cmfflhfyf00heglv3rg3zenz3""]"
cmfflhfq000g2glv3ie26n52f,Healthcare Management System,Comprehensive healthcare management solution for hospitals and clinics,"{""status"":""development"",""version"":""1.0.0"",""category"":""Healthcare Application"",""industry"":""Healthcare"",""priority"":""High"",""technology"":""React, .NET Core, SQL Server""}","[""cmfflhfz300higlv3pvqiq2vb"",""cmfflhfzq00hmglv3v8k8fz2t"",""cmfflhg0o00hqglv3m51biw2g""]"
cmfflknci00ppglv381zr9b9r,License Test Product,Testing license system,{},"[""cmfflknep00ptglv3d2zgim28"",""cmfflknfs00pxglv3dc6726qj"",""cmfflkngw00q1glv3tw9cbmmf""]"
cmfflksgo00q4glv3dheu625r,License Test Product,Testing license system,{},[]
cmfflkwgr00q7glv3clvy9hig,License Test Product,Testing license system,{},"[""cmffll18h00qbglv3sx38zujt""]"
cmfflxrg400s6glv3luzyj5q2,E-Commerce Platform,Complete online shopping solution with advanced features,{},"[""cmfflxrka00smglv3ged9eqir"",""cmfflxrku00sqglv3hw0m81sp"",""cmfflxrlf00suglv3ggt3go8q""]"
cmfflxrhd00s9glv3snlb6sgi,Mobile Banking Application,Secure mobile banking app with biometric authentication,{},"[""cmfflxrlx00syglv35nvxo1y1"",""cmfflxrmh00t2glv3fswn0of0"",""cmfflxrmx00t6glv3nfrudoha""]"
cmfflxri700scglv3tu2q5ern,Customer Relationship Management,Comprehensive CRM system for sales and support teams,{},"[""cmfflxrne00taglv3uzpv1djq"",""cmfflxrnt00teglv3q4znuj3k"",""cmfflxroc00tiglv3qszl1k8x""]"
cmfflxrj400sfglv34q68krpn,Business Intelligence Dashboard,Advanced analytics and reporting platform,{},"[""cmfflxrp100tmglv3uwjcg1dh"",""cmfflxrpk00tqglv3pkzoz154"",""cmfflxrqb00tuglv3tvw8pcwb""]"
cmfflxrjs00siglv3gnww0gpn,Healthcare Management System,Complete healthcare management solution with compliance features,{},"[""cmfflxrqy00tyglv3nyg9cnce"",""cmfflxrss00u2glv3405b8c1w"",""cmfflxruh00u6glv3azfe2ptt""]"
cmfflylh40125glv3yrselpl2,Test Product 1757607223141,This is a test product created by the GUI Test Studio for validation purposes.,"{""status"":""active"",""category"":""Test Category"",""priority"":""High"",""createdAt"":""2025-09-11T16:13:43.141Z"",""createdBy"":""GUI Test Studio"",""testCreated"":true}","[""cmfflylkr012dglv3zwctnrwo""]"
cmffmap76014aglv3g1encd0k,E-Commerce Platform - EDITED,Complete online shopping solution with advanced features [UPDATED by GUI Test Studio at 12:49:02 PM] - This product has been comprehensively updated with all available attributes modified for thorough testing.,"{""version"":""v1.0"",""editedBy"":""GUI Test Studio"",""editCount"":1,""lastEdited"":""2025-09-11T16:49:02.478Z"",""editTimestamp"":1757609342478,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}","[""cmffmapb4014qglv3axktbhqi"",""cmffmapc5014uglv3ajgdpz8t"",""cmffmapcp014yglv3z9wtseo4""]"
cmffmap7z014dglv3u36mute7,Mobile Banking Application,Secure mobile banking app with biometric authentication,{},"[""cmffmapdc0152glv34qwe7w0m"",""cmffmapdy0156glv34797lfhs"",""cmffmapej015aglv37yrqwdvk""]"
cmffmap8o014gglv330sqjpdm,Customer Relationship Management,Comprehensive CRM system for sales and support teams,{},"[""cmffmapf8015eglv3ohr5g1ae"",""cmffmapfy015iglv3vzgfd9m6"",""cmffmapgi015mglv3w4w98ske""]"
cmffmap9s014jglv35txpvpbw,Business Intelligence Dashboard,Advanced analytics and reporting platform,{},"[""cmffmapgy015qglv3kz34kqt7"",""cmffmaphf015uglv3q0ih281r"",""cmffmaphv015yglv3xdn8yqu2""]"
cmffmapai014mglv30fuz8yrl,Healthcare Management System,Complete healthcare management solution with compliance features,{},"[""cmffmapie0162glv3racsct6i"",""cmffmapiv0166glv3orfdgitj"",""cmffmapje016aglv395spmisj""]"
cmffmbjkl01efglv3yqe0tmdm,Test Product 1757607827158,This is a test product created by the GUI Test Studio for validation purposes.,"{""status"":""active"",""category"":""Test Category"",""priority"":""High"",""createdAt"":""2025-09-11T16:23:47.158Z"",""createdBy"":""GUI Test Studio"",""testCreated"":true}","[""cmffmbjo901englv3wwpe8zon""]"
cmffmd43r01etglv3xd4qb720,Test Product 1757607900435 - EDITED,This is a test product created by the GUI Test Studio for validation purposes. [UPDATED by GUI Test Studio at 12:25:04 PM] - This product has been comprehensively updated with all available attributes modified for thorough testing.,"{""status"":""active"",""version"":""v1.0"",""category"":""Test Category"",""editedBy"":""GUI Test Studio"",""priority"":""High"",""createdAt"":""2025-09-11T16:25:00.435Z"",""createdBy"":""GUI Test Studio"",""editCount"":1,""lastEdited"":""2025-09-11T16:25:04.023Z"",""testCreated"":true,""editTimestamp"":1757607904023,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}","[""cmffmd48i01f1glv311ouohbi""]"
cmffmdbwd01f8glv3zcg08875,Test Product 1757607910522 - EDITED,This is a test product created by the GUI Test Studio for validation purposes. [UPDATED by GUI Test Studio at 12:25:14 PM] - This product has been comprehensively updated with all available attributes modified for thorough testing.,"{""status"":""active"",""version"":""v1.0"",""category"":""Test Category"",""editedBy"":""GUI Test Studio"",""priority"":""High"",""createdAt"":""2025-09-11T16:25:10.522Z"",""createdBy"":""GUI Test Studio"",""editCount"":1,""lastEdited"":""2025-09-11T16:25:14.613Z"",""testCreated"":true,""editTimestamp"":1757607914613,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}","[""cmffmdc0v01fgglv3xwaszr9w""]"
cmffmk80q01fzglv3mhzf5hli,Updated Test Product 1757608232938,This product has been updated by the CLI test runner,"{""createdAt"":""2025-09-11T16:30:32.851Z"",""createdBy"":""CLI Test Runner"",""testCreated"":true}","[""cmffmk81d01g3glv3bb2jyzyp""]"
cmffmlxqb01gfglv3ol23srps,Edge Test Product 1757608312800,Product for edge case testing,"{""testType"":""edge-cases""}","[""cmffmlxr601gjglv31uymiake""]"
cmffmlxu501guglv3xmn3k9hz,License Test Product 1757608312970,Product for testing license validation,"{""testType"":""license-validation""}","[""cmffmlxuh01gyglv3c60ydg75""]"
cmffmlxv901h1glv3dwuspkzw,Weight Test Product 1757608313010,Product for testing weight allocation,"{""testType"":""weight-validation""}","[""cmffmlxvo01h5glv3t0bub3g2""]"
cmffn7yto01hlglv39a6ptepu,Test Product 1757609339955,This is a test product created by the GUI Test Studio for validation purposes.,"{""status"":""active"",""category"":""Test Category"",""priority"":""High"",""createdAt"":""2025-09-11T16:48:59.955Z"",""createdBy"":""GUI Test Studio"",""testCreated"":true}","[""cmffn7ywr01htglv3l3yass8q""]"
cmffn91w701i0glv3u3i5f6ji,Test Product 1757609390632 - EDITED,This is a test product created by the GUI Test Studio for validation purposes. [UPDATED by GUI Test Studio at 12:50:02 PM] - This product has been comprehensively updated with all available attributes modified for thorough testing.,"{""status"":""active"",""version"":""v1.0"",""category"":""Test Category"",""editedBy"":""GUI Test Studio"",""priority"":""High"",""createdAt"":""2025-09-11T16:49:50.632Z"",""createdBy"":""GUI Test Studio"",""editCount"":1,""lastEdited"":""2025-09-11T16:50:02.673Z"",""testCreated"":true,""editTimestamp"":1757609402673,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}","[""cmffn920301i8glv3j2vxy8jl""]"
cmffnh5r201ixglv3pohvwsyc,Limited License Product 1757609769535,Product with only Essential license to test cycling failure,"{""testType"":""license-cycling-test"",""limitedLicenses"":true}","[""cmffnh5rx01j1glv311kfdtz9""]"
cmffnh5te01j8glv3fggt4vog,Complete License Product 1757609769647,Product with all license levels for proper cycling,"{""testType"":""complete-license-test"",""hasAllLicenses"":true}","[""cmffnh5tr01jcglv3gtpur59z"",""cmffnh5u501jgglv3jdbr0083"",""cmffnh5ul01jkglv3ikj1cxgo""]"
cmffnji6z01jxglv3oj7ak5ry,Single License Product 1757609878968,Product with only Essential license to test fixed logic,"{""testType"":""single-license-fix-test""}","[""cmffnji7s01k1glv30pcpt9cp""]"
cmffnji9b01kaglv3dzi2g10r,Multi License Product 1757609879084,Product with multiple licenses to test cycling,"{""testType"":""multi-license-fix-test""}","[""cmffnji9p01keglv3m0g3upb0"",""cmffnjia301kiglv31kyny78j""]"
cmffnl1ii01krglv33425vjqs,TestPanelNew Product 1757609950667,Test product created by TestPanelNew simulation for validation purposes.,"{""createdAt"":""2025-09-11T16:59:10.667Z"",""createdBy"":""TestPanelNew Simulation"",""testCreated"":true}","[""cmffnl1jd01kvglv3jgdih4ro"",""cmffnl1jr01kzglv3zjccdhyr""]"
cmffno9ch01nbglv3vguy5luw,E-Commerce Platform,Complete online shopping solution with advanced features,{},"[""cmffno9he01nrglv3kskjee9a"",""cmffno9i201nvglv3kq44lyyn"",""cmffno9il01nzglv3zbqpqfo5""]"
cmffno9dl01neglv3zivljdaw,Mobile Banking Application,Secure mobile banking app with biometric authentication,{},"[""cmffno9jf01o3glv3vwvfhwoj"",""cmffno9k101o7glv3qqwycs7z"",""cmffno9kk01obglv3r96mbvge""]"
cmffno9ep01nhglv346d2mmyp,Customer Relationship Management,Comprehensive CRM system for sales and support teams,{},"[""cmffno9l501ofglv3vcnhax6a"",""cmffno9lw01ojglv3helur63b"",""cmffno9mh01onglv3c3gybqc7""]"
cmffno9fr01nkglv302pcoy58,Business Intelligence Dashboard,Advanced analytics and reporting platform,{},"[""cmffno9n401orglv3zuhjuqnv"",""cmffno9nq01ovglv38sv8dadc"",""cmffno9od01ozglv3zl3qmcc8""]"
cmffno9gi01nnglv3ta2vvmdi,Healthcare Management System,Complete healthcare management solution with compliance features,{},"[""cmffno9oy01p3glv3wsw9xy09"",""cmffno9pk01p7glv3ymsml8f3"",""cmffno9q701pbglv3ivnxqrn0""]"
cmffnpc0801xaglv33vqgqd6c,Test Product 1757610150217 - EDITED,This is a test product created by the GUI Test Studio for validation purposes. [UPDATED by GUI Test Studio at 1:02:35 PM] - This product has been comprehensively updated with all available attributes modified for thorough testing.,"{""status"":""active"",""version"":""v1.0"",""category"":""Test Category"",""editedBy"":""GUI Test Studio"",""priority"":""High"",""createdAt"":""2025-09-11T17:02:30.217Z"",""createdBy"":""GUI Test Studio"",""editCount"":1,""lastEdited"":""2025-09-11T17:02:35.029Z"",""testCreated"":true,""editTimestamp"":1757610155029,""testAttributes"":{""testType"":""full-attribute-edit"",""comprehensive"":true,""allFieldsModified"":true},""testEnvironment"":""GUI Test Studio""}","[""cmffnpc5q01xiglv35rt6cg02""]"
cmffoy1qt01xoglv3sjyem054,Test Product 1757612237110,This is a test product created by the GUI Test Studio for validation purposes.,"{""status"":""active"",""category"":""Test Category"",""priority"":""High"",""createdAt"":""2025-09-11T17:37:17.110Z"",""createdBy"":""GUI Test Studio"",""testCreated"":true}","[""cmffoy1s501xwglv38fl8w4b4"",""cmffoy1si01y0glv33r0fcwzw"",""cmffoy1su01y4glv38frho0r3""]"
cmffoy6li01ybglv3e3kmnmw3,TestPanelNew Product 1757612243399,Test product created by TestPanelNew simulation for validation purposes.,"{""createdAt"":""2025-09-11T17:37:23.399Z"",""createdBy"":""TestPanelNew Simulation"",""testCreated"":true}","[""cmffoy6md01yfglv3mrbtf99d"",""cmffoy6ms01yjglv3b13ga1l9"",""cmffoy6n501ynglv30v97dugv""]"
cmffoyauv01ywglv3jzx4dwkf,Single License Product 1757612248900,Product with only Essential license to test fixed logic,"{""testType"":""single-license-fix-test""}","[""cmffoyavs01z0glv3vfve8u9r""]"
cmffoyaxm01z9glv3f3u4k074,Multi License Product 1757612249048,Product with multiple licenses to test cycling,"{""testType"":""multi-license-fix-test""}","[""cmffoyaxz01zdglv3e585mmq7"",""cmffoyayb01zhglv3uktg4x6z""]"
cmffoyazm01zqglv3tgkhwomi,Comprehensive Product 1757612249117,Product with all 3 licenses for complete testing,"{""testType"":""comprehensive-3-license""}","[""cmffoyazy01zuglv3cmaiu0g0"",""cmffoyb0c01zyglv3bx2xmxgo"",""cmffoyb0p0202glv3oatrea0h""]"
